"VERSION","INSTALL_TYPE","DESCR","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"FIADB_1.5.1.07","RELEASE","THIS IS RELEASE 07 of FIADB VERSION 5.1 PROD","",2013-09-24,"20004","",2015-03-19,"489998"
"FIADB_1.5.1.06","RELEASE","THIS IS RELEASE 06 of FIADB VERSION 5.1 PROD","",2013-06-24,"20004","",2015-03-19,"489998"
"FIADB_1.4.0.09","RELEASE","THIS IS RELEASE 09 OF FIADB VERSION 4.0 PROD","",2010-09-14,"20004","",2012-10-05,"20004"
"FIADB_1.4.0.10","RELEASE","THIS IS RELEASE 10 OF FIADB VERSION 4.0 PROD","",2010-09-14,"20004","",2012-10-05,"20004"
"FIADB_1.4.0.00","INITIAL","FIADB Version 4.0","",2009-02-20,"440","",2012-10-05,"20004"
"FIADB_1.4.0.07","RELEASE","THIS IS RELEASE 07 OF FIADB VERSION 4.0 PROD","",2010-03-05,"333","",2012-10-05,"20004"
"FIADB_1.4.0.08","RELEASE","THIS IS RELEASE 08 OF FIADB VERSION 4.0 PROD","",2010-03-05,"333","",2012-10-05,"20004"
"FIADB_1.5.1.05","RELEASE","THIS IS RELEASE 05 of FIADB VERSION 5.1 PROD","",2013-03-01,"20004","",2015-03-19,"489998"
"FIADB_1.4.0.11","RELEASE","THIS IS RELEASE 11 OF FIADB VERSION 4.0 PROD","",2010-09-14,"20004","",2012-10-05,"20004"
"FIADB_1.5.1.01","RELEASE","THIS IS RELEASE 01 OF FIADB VERSION 5.1 PROD","",2012-02-27,"20004","",2012-10-05,"20004"
"FIADB_1.5.1.03","RELEASE","THIS IS RELEASE 03 of FIADB VERSION 5.1 PROD","",2012-10-05,"20004","",2015-03-19,"489998"
"FIADB_1.4.0.12","RELEASE","THIS IS RELEASE 12 OF FIADB VERSION 4.0 PROD","",2011-01-06,"20004","",2012-10-05,"20004"
"FIADB_1.5.1.02","RELEASE","THIS IS RELEASE 02 OF FIADB VERSION 5.1 PROD","",2012-05-23,"20004","",2012-10-05,"20004"
"FIADB_1.5.1.04","RELEASE","THIS IS RELEASE 04 of FIADB VERSION 5.1 PROD","",2012-11-15,"20004","",2015-03-19,"489998"
"FIADB_1.5.1.00","UPDATE","THIS IS FIADB VERSION 5.1 PROD","",2011-11-23,"20004","",2012-10-05,"20004"
"FIADB_1.5.1.08","RELEASE","THIS IS RELEASE 08 of FIADB VERSION 5.1 PROD","",2014-02-14,"20004","",2015-03-19,"489998"
"FIADB_1.6.0.01","RELEASE","THIS IS RELEASE 01 OF FIADB VERSION 6.0 PROD","",2014-09-20,"489998","",2016-06-10,"489998"
"FIADB_1.6.1.01","RELEASE","THIS IS RELEASES 01 of FIADB VERSION 6.1 PROD","",2016-10-19,"489998","",,""
"FIADB_1.6.0.02","RELEASE","THIS IS RELEASE 02 OF FIADB VERSION 6.0 PROD","",2015-05-08,"489998","",2016-06-10,"489998"
"FIADB_1.6.0.00","UPDATE","THIS IS FIADB VERSION 6.0 PROD","",2014-04-24,"489998","",,""
"FIADB_1.6.1.00","UPDATE","THIS IS FIADB VERSION 6.1 PROD","",2016-06-10,"489998","",2016-10-19,"489998"
