"STATECD","RSCD","RS","STATE_NAME","STATE_ABBR","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
1,33,"SRS","Alabama","AL","",2005-02-23,"333","",2010-01-28,"333"
2,27,"PNWRS","Alaska","AK","",2005-02-23,"333","",2010-01-28,"333"
4,22,"RMRS","Arizona","AZ","",2005-02-23,"333","",2010-01-28,"333"
5,33,"SRS","Arkansas","AR","",2005-02-23,"333","",2010-01-28,"333"
6,26,"PNWRS","California","CA","",2005-02-23,"333","",2010-01-28,"333"
8,22,"RMRS","Colorado","CO","",2005-02-23,"333","",2010-01-28,"333"
9,24,"NERS","Connecticut","CT","",2005-02-23,"333","",2010-01-28,"333"
10,24,"NERS","Delaware","DE","",2005-02-23,"333","",2010-01-28,"333"
11,24,"NERS","District of Columbia","DC","",2005-06-03,"333","",2010-01-28,"333"
12,33,"SRS","Florida","FL","",2005-02-23,"333","",2010-01-28,"333"
13,33,"SRS","Georgia","GA","",2005-02-23,"333","",2010-01-28,"333"
15,26,"PNWRS","Hawaii","HI","",2005-02-23,"333","",2010-01-28,"333"
16,22,"RMRS","Idaho","ID","",2005-02-23,"333","",2010-01-28,"333"
17,23,"NCRS","Illinois","IL","",2005-02-23,"333","",2010-01-28,"333"
18,23,"NCRS","Indiana","IN","",2005-02-23,"333","",2010-01-28,"333"
19,23,"NCRS","Iowa","IA","",2005-02-23,"333","",2010-01-28,"333"
20,23,"NCRS","Kansas","KS","",2005-02-23,"333","",2010-01-28,"333"
21,33,"SRS","Kentucky","KY","",2005-02-23,"333","",2010-01-28,"333"
22,33,"SRS","Louisiana","LA","",2005-02-23,"333","",2010-01-28,"333"
23,24,"NERS","Maine","ME","",2005-02-23,"333","",2010-01-28,"333"
24,24,"NERS","Maryland","MD","",2005-02-23,"333","",2010-01-28,"333"
25,24,"NERS","Massachusetts","MA","",2005-02-23,"333","",2010-01-28,"333"
26,23,"NCRS","Michigan","MI","",2005-02-23,"333","",2010-01-28,"333"
27,23,"NCRS","Minnesota","MN","",2005-02-23,"333","",2010-01-28,"333"
28,33,"SRS","Mississippi","MS","",2005-02-23,"333","",2010-01-28,"333"
29,23,"NCRS","Missouri","MO","",2005-02-23,"333","",2010-01-28,"333"
30,22,"RMRS","Montana","MT","",2005-02-23,"333","",2010-01-28,"333"
31,23,"NCRS","Nebraska","NE","",2005-02-23,"333","",2010-01-28,"333"
32,22,"RMRS","Nevada","NV","",2005-02-23,"333","",2010-01-28,"333"
33,24,"NERS","New Hampshire","NH","",2005-02-23,"333","",2010-01-28,"333"
34,24,"NERS","New Jersey","NJ","",2005-02-23,"333","",2010-01-28,"333"
35,22,"RMRS","New Mexico","NM","",2005-02-23,"333","",2010-01-28,"333"
36,24,"NERS","New York","NY","",2005-02-23,"333","",2010-01-28,"333"
37,33,"SRS","North Carolina","NC","",2005-02-23,"333","",2010-01-28,"333"
38,23,"NCRS","North Dakota","ND","",2005-02-23,"333","",2010-01-28,"333"
39,24,"NERS","Ohio","OH","",2005-02-23,"333","",2010-01-28,"333"
40,33,"SRS","Oklahoma","OK","",2005-02-23,"333","",2010-01-28,"333"
41,26,"PNWRS","Oregon","OR","",2005-02-23,"333","",2010-01-28,"333"
42,24,"NERS","Pennsylvania","PA","",2005-02-23,"333","",2010-01-28,"333"
44,24,"NERS","Rhode Island","RI","",2005-02-23,"333","",2010-01-28,"333"
45,33,"SRS","South Carolina","SC","",2005-02-23,"333","",2010-01-28,"333"
46,23,"NCRS","South Dakota","SD","",2005-02-23,"333","",2010-01-28,"333"
47,33,"SRS","Tennessee","TN","",2005-02-23,"333","",2010-01-28,"333"
48,33,"SRS","Texas","TX","",2005-02-23,"333","",2010-01-28,"333"
49,22,"RMRS","Utah","UT","",2005-02-23,"333","",2010-01-28,"333"
50,24,"NERS","Vermont","VT","",2005-02-23,"333","",2010-01-28,"333"
51,33,"SRS","Virginia","VA","",2005-02-23,"333","",2010-01-28,"333"
53,26,"PNWRS","Washington","WA","",2005-02-23,"333","",2010-01-28,"333"
54,24,"NERS","West Virginia","WV","",2005-02-23,"333","",2010-01-28,"333"
55,23,"NCRS","Wisconsin","WI","",2005-02-23,"333","",2010-01-28,"333"
56,22,"RMRS","Wyoming","WY","",2005-02-23,"333","",2010-01-28,"333"
60,26,"PNWRS","American Samoa","AS","",2013-04-22,"20004","",,""
64,26,"PNWRS","Federated States of Micronesia","FM","",2013-04-22,"20004","",2013-10-30,"440"
66,26,"PNWRS","Guam","GU","",2013-04-22,"20004","",2013-10-30,"440"
68,26,"PNWRS","Marshall Islands","MH","",2013-04-22,"20004","",,""
69,26,"PNWRS","Northern Mariana Islands","MP","",2013-04-22,"20004","",,""
70,26,"PNWRS","Palau","PW","",2013-04-22,"20004","",,""
72,33,"SRS","Puerto Rico","PR","",2010-01-28,"440","",2010-01-28,"333"
78,33,"SRS","US Virgin Islands","VI","",2010-01-28,"440","",2013-11-06,"440"
